winery,wine,year,calificacion,num_resenas,pais,region,precio,tipo,cuerpo,acidez
Vega Sicilia,Unico,2002,47,1199,Espana,Ribera del Duero,50094,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1991,47,1141,Espana,Ribera del Duero,6989,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1994,47,940,Espana,Ribera del Duero,87247,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2000,47,935,Espana,Ribera del Duero,87785,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1990,47,690,Espana,Ribera del Duero,82794,Ribera del Duero Tinto,50,30
Pago de Carraovejas,Cuesta de Las Liebres,2014,47,685,Espana,Ribera del Duero,11318,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1989,47,675,Espana,Ribera del Duero,67972,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1987,47,593,Espana,Ribera del Duero,78759,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2017,47,560,Espana,Ribera del Duero,48006,Ribera del Duero Tinto,50,30
Pago de Carraovejas,El Anejon,2015,47,543,Espana,Ribera del Duero,751,Ribera del Duero Tinto,50,30
Bodegas El Nido,El Nido,2014,47,511,Espana,Jumilla,1549,Tinto,40,30
Bodegas El Nido,El Nido,2013,47,476,Espana,Jumilla,1450,Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,1996,47,442,Espana,Ribera del Duero,2900,Ribera del Duero Tinto,50,30
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,47,425,Espana,Rioja,7950,Rioja Blanco,30,30
Bodegas El Nido,El Nido,2016,47,393,Espana,Jumilla,"3,7178E+13",Tinto,40,30
Bodegas El Nido,El Nido,2008,47,347,Espana,Jumilla,13419,Tinto,40,30
Vinedos de Paganos,La Nieta,2015,47,312,Espana,Rioja,8258,Rioja Tinto,40,30
Vega Sicilia,Unico,1981,47,308,Espana,Ribera del Duero,87386,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2007,47,303,Espana,Ribera del Duero,7744,Ribera del Duero Tinto,50,30
Emilio Moro,Malleolus de Valderramiro,2016,47,300,Espana,Ribera del Duero,8495,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2001,47,295,Espana,Ribera del Duero,9400,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1986,47,292,Espana,Ribera del Duero,81263,Ribera del Duero Tinto,50,30
Emilio Moro,Malleolus de Sanchomartin,2016,47,291,Espana,Ribera del Duero,11654,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2004,47,285,Espana,Ribera del Duero,15000,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2006,47,280,Espana,Ribera del Duero,11900,Ribera del Duero Tinto,50,30
Bodegas El Nido,El Nido,2017,47,268,Espana,Jumilla,15485,Tinto,40,30
Teso La Monja,Alabaster,2016,47,264,Espana,Toro,1350,Toro Tinto,50,30
Quinta de la Quietud,La Mula de la Quietud,2015,47,256,Espana,Toro,6375,Toro Tinto,50,30
Vega Sicilia,Unico,1985,47,254,Espana,Ribera del Duero,82794,Ribera del Duero Tinto,50,30
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,47,251,Espana,Castilla y Leon,6607,Tempranillo,40,20
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,47,243,Espana,Rioja,2139,Rioja Tinto,40,30
Remirez de Ganuza,Maria Remirez de Ganuza,2006,47,240,Espana,Rioja,2349,Rioja Tinto,40,30
Vega Sicilia,Unico,1968,47,225,Espana,Ribera del Duero,208725,Ribera del Duero Tinto,50,30
Vinedos de Paganos,La Nieta,2018,47,220,Espana,Rioja,899,Rioja Tinto,40,30
Vega Sicilia,Unico,1964,47,214,Espana,Ribera del Duero,138454,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1982,47,205,Espana,Ribera del Duero,82098,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2015,47,203,Espana,Ribera del Duero,12500,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,1995,47,196,Espana,Ribera del Duero,15000,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,1999,47,184,Espana,Ribera del Duero,171518,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,1974,47,173,Espana,Ribera del Duero,9323,Ribera del Duero Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,47,171,Espana,Priorato,137214,Priorat Tinto,40,30
Bodegas San Roman,Cartago Paraje de Pozo,2015,47,137,Espana,Toro,789,Toro Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2012,47,136,Espana,Ribera del Duero,66096,Ribera del Duero Tinto,50,30
Pago de Los Capellanes,Parcela El Picon Tinto,2009,47,134,Espana,Ribera del Duero,1540,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2017,47,133,Espana,Ribera del Duero,13489,Ribera del Duero Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,47,132,Espana,Priorato,142296,Priorat Tinto,40,30
Bodega Numanthia,Termanthia,2005,47,131,Espana,Toro,20711,Toro Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,2011,47,131,Espana,Ribera del Duero,34049,Ribera del Duero Tinto,50,30
Emilio Moro,Clon De La Familia,2010,47,127,Espana,Ribera del Duero,31763,Ribera del Duero Tinto,50,30
Alto Moncayo,Aquilon Garnacha,2011,47,123,Espana,Campo de Borja,1089,Garnacha,50,30
Vega Sicilia,Unico,1983,47,118,Espana,Ribera del Duero,7000,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Convento Seleccion,1955,47,117,Espana,Montilla-Moriles,1850,Pedro Ximenez,50,10
Vega Sicilia,Unico,1980,47,116,Espana,Ribera del Duero,91143,Ribera del Duero Tinto,50,30
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,47,112,Espana,Rioja,11500,Rioja Tinto,40,30
Vega Sicilia,Unico,1972,47,110,Espana,Ribera del Duero,69895,Ribera del Duero Tinto,50,30
Bodega Numanthia,Termanthia,2004,47,108,Espana,Toro,281416,Toro Tinto,50,30
Teso La Monja,Tinto,2010,47,102,Espana,Toro,13250,Toro Tinto,50,30
Alvaro Palacios,Quinon de Valmira,2015,47,102,Espana,Rioja,52726,Rioja Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,1987,47,100,Espana,Ribera del Duero,107145,Ribera del Duero Tinto,50,30
Mas Doix,1902 Centenary Carignan Priorat,2015,47,94,Espana,Priorato,2990,Priorat Tinto,40,30
Finca Moncloa,Tintilla de Rota,2016,47,92,Espana,Cadiz,4313,Tintilla de Rota,#¡REF!,#¡REF!
Vega Sicilia,Unico,1953,47,89,Espana,Ribera del Duero,12076,Ribera del Duero Tinto,50,30
Bodegas Roda,Cirsion Rioja,2000,47,87,Espana,Rioja,1750,Rioja Tinto,40,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,47,82,Espana,Priorato,125235,Priorat Tinto,40,30
Bodegas El Nido,El Nido,2019,47,80,Espana,Jumilla,1459,Tinto,40,30
Mas Doix,1902 Centenary Carignan Priorat,2013,47,74,Espana,Priorato,44795,Priorat Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,2006,47,72,Espana,Ribera del Duero,81396,Ribera del Duero Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,47,67,Espana,Priorato,141026,Priorat Tinto,40,30
Martinet,Cami Pesseroles,2006,47,65,Espana,Priorato,1829,Priorat Tinto,40,30
Recaredo,Turo d'en Mota,2007,47,64,Espana,Cava,990,Cava,20,30
Vega Sicilia,Unico Reserva Especial Edicion,1986,47,63,Espana,Ribera del Duero,11132,Ribera del Duero Tinto,50,30
Clos Erasmus,Priorat,2007,47,60,Espana,Priorato,65431,Priorat Tinto,40,30
Pago de Los Capellanes,Parcela El Picon Tinto,2016,47,59,Espana,Ribera del Duero,13426,Ribera del Duero Tinto,50,30
Barbadillo,Reliquia Palo Cortado Sherry,N.V.,47,58,Espana,Jerez Palo Cortado,3800,Jerez,40,30
La Rioja Alta,Gran Reserva 890,1982,47,57,Espana,Rioja,29209,Rioja Tinto,40,30
Gonzalez-Byass,Anada Palo Cortado 1987,1987,47,53,Espana,Jerez Palo Cortado,40085,Jerez,40,30
Clos Erasmus,Daphne Glorian Red,2007,47,51,Espana,Priorato,20201,Tinto,40,30
Toro Albala,Don PX Pedro Ximenez,1955,47,50,Espana,Montilla-Moriles,2500,Pedro Ximenez,50,10
Vinedos de Paganos,La Nieta,2019,47,49,Espana,Rioja,889,Rioja Tinto,40,30
Bodegas Amaren,El Regollar,2016,47,49,Espana,Rioja,779,Rioja Tinto,40,30
Toro Albala,Don PX Convento Seleccion,1958,47,47,Espana,Montilla-Moriles,19161,Pedro Ximenez,50,10
Teso La Monja,Alabaster,2018,47,45,Espana,Toro,12389,Toro Tinto,50,30
Alvear,Abuelo Diego Palo Cortado,N.V.,47,42,Espana,Montilla-Moriles,11428,Pedro Ximenez,50,10
Equipo Navazos,La Bota 78 de Oloroso,N.V.,47,41,Espana,Manzanilla,9557,Jerez,40,30
Morca,Touran,2018,47,41,Espana,Campo de Borja,9395,Garnacha,50,30
Territorio Luthier,Luthier Gran Reserva,2012,47,40,Espana,Ribera del Duero,2480,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,1995,47,39,Espana,Vino de Espana,3970,Tempranillo,40,20
Rafael Palacios,Sorte O Soro Val do Bibei,2019,47,37,Espana,Valdeorras,19486,D.O. Valdeorras ,#¡REF!,#¡REF!
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,47,35,Espana,Cava,6505,Cava,20,30
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,47,33,Espana,Castilla y Leon,869,Tempranillo,40,20
Vina Sastre,Pesus Ribera del Duero,2004,47,32,Espana,Ribera del Duero,4725,Ribera del Duero Tinto,50,30
Terra Remota,Usted,2010,47,31,Espana,Emporda,3790,Tinto,40,30
Dehesa de Los Canonigos,Gran Reserva,2001,47,31,Espana,Ribera del Duero,18515,Ribera del Duero Tinto,50,30
Vina Sastre,Regina Vides Ribera del Duero,1998,47,30,Espana,Ribera del Duero,942,Ribera del Duero Tinto,50,30
Miguel Merino,La Loma,2018,47,29,Espana,Rioja Alta,460,Rioja Tinto,40,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,47,28,Espana,Priorato,9196,Priorat Tinto,40,30
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,47,27,Espana,Alicante,819,D.O. Alicante,#¡REF!,#¡REF!
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,47,27,Espana,Rioja,6800,Rioja Tinto,40,30
Vega Sicilia,Valbuena 5o,2011,46,6803,Espana,Ribera del Duero,2180,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2012,46,5938,Espana,Ribera del Duero,1770,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2008,46,5545,Espana,Ribera del Duero,1873,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2007,46,5116,Espana,Ribera del Duero,19559,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2013,46,4747,Espana,Ribera del Duero,1350,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2009,46,4685,Espana,Ribera del Duero,2252,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,2016,46,4516,Espana,Ribera del Duero,798,Ribera del Duero Tinto,50,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,46,3383,Espana,Ribera del Duero,"1,16188E+14",Ribera del Duero Tinto,50,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,46,3239,Espana,Ribera del Duero,893,Ribera del Duero Tinto,50,30
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,46,2416,Espana,Rioja,4389,Rioja Tinto,40,30
Alion,Ribera del Duero,2017,46,2208,Espana,Ribera del Duero,799,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2004,46,1608,Espana,Ribera del Duero,2490,Ribera del Duero Tinto,50,30
Dominio de Pingus,Flor de Pingus,2018,46,1363,Espana,Ribera del Duero,12995,Ribera del Duero Tinto,50,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,46,1108,Espana,Ribera del Duero,7695,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2000,46,1015,Espana,Ribera del Duero,2520,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2002,46,936,Espana,Ribera del Duero,2320,Ribera del Duero Tinto,50,30
Bodega Numanthia,Termanthia,2012,46,840,Espana,Toro,2140,Toro Tinto,50,30
Bodega Numanthia,Termanthia,2011,46,790,Espana,Toro,2050,Toro Tinto,50,30
Carmelo Rodero,Pago De Valtarrena,2015,46,700,Espana,Ribera del Duero,4995,Ribera del Duero Tinto,50,30
Emilio Moro,Malleolus de Sanchomartin,2011,46,693,Espana,Ribera del Duero,1250,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,1999,46,595,Espana,Ribera del Duero,2768,Ribera del Duero Tinto,50,30
Emilio Moro,Malleolus de Valderramiro,2015,46,516,Espana,Ribera del Duero,750,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2010,46,410,Espana,Ribera del Duero,135975,Ribera del Duero Tinto,50,30
Pago de Carraovejas,Cuesta de Las Liebres,2010,46,405,Espana,Ribera del Duero,815,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2012,46,400,Espana,Ribera del Duero,8900,Ribera del Duero Tinto,50,30
Dominio del Bendito,El Titan del Bendito,2015,46,388,Espana,Toro,435,Toro Tinto,50,30
Emilio Moro,Malleolus de Sanchomartin,2015,46,369,Espana,Ribera del Duero,990,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2013,46,323,Espana,Ribera del Duero,119872,Ribera del Duero Tinto,50,30
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,46,313,Espana,Castilla y Leon,9495,Tempranillo,40,20
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,46,304,Espana,Castilla y Leon,890,Tempranillo,40,20
Dominio de Pingus,Pingus,2005,46,293,Espana,Ribera del Duero,178596,Ribera del Duero Tinto,50,30
Vinedos de Paganos,La Nieta,2017,46,286,Espana,Rioja,10821,Rioja Tinto,40,30
Artadi,Vina El Pison,2006,46,274,Espana,Vino de Espana,3915,Tempranillo,40,20
Dominio de Pingus,Pingus,1998,46,244,Espana,Ribera del Duero,13500,Ribera del Duero Tinto,50,30
Bodegas Roda,Cirsion Rioja,2007,46,242,Espana,Rioja,1450,Rioja Tinto,40,30
Bodegas Roda,Cirsion Rioja,2012,46,231,Espana,Rioja,17338,Rioja Tinto,40,30
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,46,225,Espana,Rioja,2200,Rioja Tinto,40,30
Marques de Murrieta,Dalmau Rioja,2017,46,222,Espana,Rioja,857,Rioja Tinto,40,30
Vega Sicilia,Unico,1965,46,218,Espana,Ribera del Duero,288404,Ribera del Duero Tinto,50,30
Sierra Cantabria,Finca el Bosque,2015,46,214,Espana,Rioja,799,Rioja Tinto,40,30
Vina Sastre,Pago de Santa Cruz,2018,46,211,Espana,Ribera del Duero,687,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2003,46,205,Espana,Ribera del Duero,163895,Ribera del Duero Tinto,50,30
Mas d'en Gil,Clos Fonta Priorat,2004,46,202,Espana,Priorato,1500,Priorat Tinto,40,30
Carmelo Rodero,Pago De Valtarrena,2016,46,200,Espana,Ribera del Duero,4895,Ribera del Duero Tinto,50,30
Pago de Los Capellanes,Parcela El Picon Tinto,2014,46,197,Espana,Ribera del Duero,10941,Ribera del Duero Tinto,50,30
Emilio Moro,Malleolus de Sanchomartin,2014,46,186,Espana,Ribera del Duero,1190,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,1992,46,176,Espana,Ribera del Duero,1950,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2014,46,172,Espana,Ribera del Duero,15950,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,2010,46,169,Espana,Vino de Espana,51955,Tempranillo,40,20
Pago de Los Capellanes,Parcela El Picon Tinto,2012,46,165,Espana,Ribera del Duero,890,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,2011,46,165,Espana,Vino de Espana,5119,Tempranillo,40,20
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,46,164,Espana,Priorato,9800,Priorat Tinto,40,30
Casa Castillo,Cuvee N Vinas Viejas,2015,46,160,Espana,Jumilla,730,Tinto,40,30
Artadi,Vina El Pison,2012,46,159,Espana,Vino de Espana,2800,Tempranillo,40,20
Vega Sicilia,Unico,1973,46,157,Espana,Ribera del Duero,9323,Ribera del Duero Tinto,50,30
Bodega Contador (Benjamin Romeo),Contador Rioja,2014,46,157,Espana,Rioja,25199,Rioja Tinto,40,30
Bodegas San Roman,Cartago Paraje de Pozo,2014,46,153,Espana,Toro,6169,Toro Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,46,150,Espana,Priorato,137214,Priorat Tinto,40,30
Bodega Numanthia,Termanthia,2014,46,147,Espana,Toro,2105,Toro Tinto,50,30
Vega Sicilia,Valbuena 5o,1985,46,146,Espana,Ribera del Duero,2850,Ribera del Duero Tinto,50,30
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001,46,145,Espana,Ribera del Duero,24575,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,1989,46,143,Espana,Ribera del Duero,22857,Ribera del Duero Tinto,50,30
Bodega Contador (Benjamin Romeo),Contador Rioja,2015,46,143,Espana,Rioja,3199,Rioja Tinto,40,30
Artadi,Vina El Pison,2005,46,142,Espana,Vino de Espana,3250,Tempranillo,40,20
Nin-Ortiz,Nit de Nin Mas d'en Cacador,2011,46,139,Espana,Priorato,3450,Priorat Tinto,40,30
Bodegas Mauro,VS,2018,46,136,Espana,Castilla y Leon,589,Tempranillo,40,20
Remirez de Ganuza,Maria Remirez de Ganuza,2005,46,136,Espana,Rioja,1590,Rioja Tinto,40,30
Vinas del Vero,Blecua Somontano,2013,46,135,Espana,Somontano,699,Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,1989,46,133,Espana,Ribera del Duero,8954,Ribera del Duero Tinto,50,30
Teso La Monja,Alabaster,2017,46,131,Espana,Toro,14785,Toro Tinto,50,30
Bodegas Mauro,Terreus Paraje de Cueva Baja,2018,46,128,Espana,Castilla y Leon,8805,Tempranillo,40,20
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1997,46,127,Espana,Priorato,10800,Priorat Tinto,40,30
Marques de Riscal,Frank Gehry Selection,2001,46,124,Espana,Rioja,3010,Tempranillo,40,20
Artadi,Vina El Pison,2014,46,124,Espana,Vino de Espana,2750,Tempranillo,40,20
Vega Sicilia,Unico,1967,46,123,Espana,Ribera del Duero,110624,Ribera del Duero Tinto,50,30
Arzuaga,Amaya Arzuaga (Coleccion),2016,46,123,Espana,Ribera del Duero,649,Ribera del Duero Tinto,50,30
Dominio de Pingus,Pingus,2000,46,122,Espana,Ribera del Duero,15030,Ribera del Duero Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1995,46,122,Espana,Priorato,137214,Priorat Tinto,40,30
Artadi,Vina El Pison,2015,46,122,Espana,Vino de Espana,24155,Tempranillo,40,20
Bodegas Mas Alta,La Creu Alta,2013,46,116,Espana,Priorato,8917,Priorat Tinto,40,30
Vega Sicilia,Unico,1975,46,115,Espana,Ribera del Duero,7699,Ribera del Duero Tinto,50,30
Dominio de Calogia,Tinto,2019,46,114,Espana,Ribera del Duero,6794,Ribera del Duero Tinto,50,30
Tomas Postigo,5o Ano Ribera del Duero Tinto,2016,46,113,Espana,Ribera del Duero,440,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,2009,46,113,Espana,Vino de Espana,4450,Tempranillo,40,20
Cal Pla,Planots Priorat,2010,46,112,Espana,Priorato,8702,Priorat Tinto,40,30
Vega Sicilia,Unico Reserva Especial Edicion,2009,46,111,Espana,Ribera del Duero,74717,Ribera del Duero Tinto,50,30
Dominio del Bendito,El Titan del Bendito,2018,46,111,Espana,Toro,4995,Toro Tinto,50,30
Ossian,Capitel,2018,46,107,Espana,Castilla y Leon,5051,Verdejo,30,30
Arzuaga,Gran Arzuaga Ribera del Duero,2004,46,105,Espana,Ribera del Duero,1574,Ribera del Duero Tinto,50,30
Alto Moncayo,Aquilon Garnacha,2015,46,105,Espana,Campo de Borja,1209,Garnacha,50,30
Dominio de Pingus,Pingus,1996,46,102,Espana,Ribera del Duero,174694,Ribera del Duero Tinto,50,30
